#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=60000/1000 input-res=832x480 interlace=0 total-frames=600 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:27.28 q-aq:19.03 q-noVbv:27.28 q-Rceq:1.42 tex:276727 mv:30683 misc:2734 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.54;
in:16 out:1 type:k q:30.20 q-aq:21.08 q-noVbv:30.20 q-Rceq:1.42 tex:92307 mv:10380 misc:4689 icu:94.25 pcu:967.25 scu:498.50 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.04;
in:8 out:2 type:B q:32.23 q-aq:26.14 q-noVbv:32.23 q-Rceq:1.42 tex:8533 mv:3049 misc:1970 icu:0.25 pcu:694.00 scu:865.75 tlayer:1 pbqpoffset:2.03 pbfactor:1.26 avgQpOffsetCutree:-4.86;
in:4 out:3 type:B q:32.23 q-aq:32.00 q-noVbv:32.23 q-Rceq:1.42 tex:2 mv:117 misc:321 icu:0.00 pcu:19.00 scu:1541.00 tlayer:2 pbqpoffset:2.03 pbfactor:1.26 avgQpOffsetCutree:-3.30;
in:2 out:4 type:B q:34.09 q-aq:34.00 q-noVbv:34.09 q-Rceq:1.42 tex:1 mv:22 misc:185 icu:0.00 pcu:2.00 scu:1558.00 tlayer:3 pbqpoffset:3.89 pbfactor:1.57 avgQpOffsetCutree:-1.69;
in:1 out:5 type:b q:36.89 q-aq:37.00 q-noVbv:36.89 q-Rceq:1.42 tex:0 mv:4 misc:164 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.69 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:36.87 q-aq:37.00 q-noVbv:36.87 q-Rceq:1.42 tex:0 mv:4 misc:164 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.68 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:33.55 q-aq:34.00 q-noVbv:33.55 q-Rceq:1.42 tex:4 mv:276 misc:256 icu:0.00 pcu:86.00 scu:1474.00 tlayer:3 pbqpoffset:3.35 pbfactor:1.47 avgQpOffsetCutree:-1.68;
in:5 out:8 type:b q:36.91 q-aq:37.00 q-noVbv:36.91 q-Rceq:1.42 tex:0 mv:4 misc:164 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.72 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:36.91 q-aq:37.00 q-noVbv:36.91 q-Rceq:1.42 tex:0 mv:4 misc:172 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.72 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:32.23 q-aq:28.01 q-noVbv:32.23 q-Rceq:1.42 tex:757 mv:475 misc:608 icu:0.00 pcu:169.75 scu:1390.25 tlayer:2 pbqpoffset:2.03 pbfactor:1.26 avgQpOffsetCutree:-3.33;
in:10 out:11 type:B q:33.65 q-aq:34.00 q-noVbv:33.65 q-Rceq:1.42 tex:2 mv:107 misc:211 icu:0.00 pcu:21.00 scu:1539.00 tlayer:3 pbqpoffset:3.45 pbfactor:1.49 avgQpOffsetCutree:-1.66;
in:9 out:12 type:b q:36.90 q-aq:37.00 q-noVbv:36.90 q-Rceq:1.42 tex:0 mv:4 misc:164 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.70 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:36.89 q-aq:37.00 q-noVbv:36.89 q-Rceq:1.42 tex:0 mv:4 misc:172 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.69 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:33.65 q-aq:32.56 q-noVbv:33.65 q-Rceq:1.42 tex:31 mv:72 misc:201 icu:0.00 pcu:1.25 scu:1558.75 tlayer:3 pbqpoffset:3.46 pbfactor:1.49 avgQpOffsetCutree:-1.67;
in:13 out:15 type:b q:36.89 q-aq:37.00 q-noVbv:36.89 q-Rceq:1.42 tex:0 mv:4 misc:172 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.69 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:36.90 q-aq:37.00 q-noVbv:36.90 q-Rceq:1.42 tex:0 mv:4 misc:172 icu:0.00 pcu:0.00 scu:1560.00 tlayer:4 pbqpoffset:6.70 pbfactor:2.17 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:26.20 q-aq:18.96 q-noVbv:26.20 q-Rceq:1.42 tex:264457 mv:30920 misc:2799 icu:1501.00 pcu:53.00 scu:6.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.50;
in:24 out:18 type:B q:31.70 q-aq:25.96 q-noVbv:31.70 q-Rceq:1.42 tex:16818 mv:5182 misc:2800 icu:5.25 pcu:816.25 scu:738.50 tlayer:1 pbqpoffset:3.51 pbfactor:1.50 avgQpOffsetCutree:-4.47;
