#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=60000/1000 input-res=832x480 interlace=0 total-frames=600 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:28.58 q-aq:22.36 q-noVbv:28.58 q-Rceq:1.42 tex:257290 mv:48442 misc:2628 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.12;
in:16 out:1 type:k q:31.50 q-aq:24.00 q-noVbv:31.50 q-Rceq:1.42 tex:99782 mv:22595 misc:3431 icu:409.00 pcu:1036.75 scu:114.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.51;
in:8 out:2 type:B q:33.73 q-aq:27.96 q-noVbv:33.73 q-Rceq:1.42 tex:36336 mv:14692 misc:3100 icu:150.50 pcu:872.25 scu:537.25 tlayer:1 pbqpoffset:2.24 pbfactor:1.29 avgQpOffsetCutree:-4.76;
in:4 out:3 type:B q:35.54 q-aq:32.97 q-noVbv:35.54 q-Rceq:1.42 tex:6352 mv:6669 misc:1867 icu:26.00 pcu:359.00 scu:1175.00 tlayer:2 pbqpoffset:4.04 pbfactor:1.60 avgQpOffsetCutree:-3.40;
in:2 out:4 type:B q:35.57 q-aq:34.84 q-noVbv:35.57 q-Rceq:1.42 tex:1762 mv:3658 misc:1180 icu:10.25 pcu:263.25 scu:1286.50 tlayer:3 pbqpoffset:4.07 pbfactor:1.60 avgQpOffsetCutree:-1.89;
in:1 out:5 type:b q:38.57 q-aq:39.00 q-noVbv:38.57 q-Rceq:1.42 tex:136 mv:1192 misc:600 icu:0.00 pcu:135.00 scu:1425.00 tlayer:4 pbqpoffset:7.07 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:38.57 q-aq:39.00 q-noVbv:38.57 q-Rceq:1.42 tex:232 mv:1101 misc:563 icu:0.25 pcu:115.25 scu:1444.50 tlayer:4 pbqpoffset:7.07 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:35.57 q-aq:34.54 q-noVbv:35.57 q-Rceq:1.42 tex:2260 mv:3586 misc:1306 icu:4.25 pcu:270.25 scu:1285.50 tlayer:3 pbqpoffset:4.07 pbfactor:1.60 avgQpOffsetCutree:-1.89;
in:5 out:8 type:b q:38.57 q-aq:39.00 q-noVbv:38.57 q-Rceq:1.42 tex:289 mv:1063 misc:648 icu:1.00 pcu:115.00 scu:1444.00 tlayer:4 pbqpoffset:7.07 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:38.57 q-aq:39.00 q-noVbv:38.57 q-Rceq:1.42 tex:58 mv:1237 misc:657 icu:0.00 pcu:137.75 scu:1422.25 tlayer:4 pbqpoffset:7.07 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:35.05 q-aq:32.24 q-noVbv:35.05 q-Rceq:1.42 tex:8156 mv:7376 misc:1996 icu:26.75 pcu:405.25 scu:1128.00 tlayer:2 pbqpoffset:3.56 pbfactor:1.51 avgQpOffsetCutree:-3.40;
